#,Filename,File extension,Path,Size,Date created
17,02 Symphony 3 in F Mayor 1est. Mov.wma,.wma,\10 Romantic works\,"7,217,934",28 Jun 2007 21:45
18,03 Rastlose Liebe.wma,.wma,\10 Romantic works\,"1,983,338",28 Jun 2007 21:45
19,05 Requiem.- tuba mirum.wma,.wma,\10 Romantic works\,"8,336,412",28 Jun 2007 21:45
20,06 Annees de pelerinage.wma,.wma,\10 Romantic works\,"12,040,860",28 Jun 2007 21:45
21,07 Romeo and Juliet.wma,.wma,\10 Romantic works\,"4,748,272",28 Jun 2007 21:45
22,08 Symphony No. 1 in B flat major.wma,.wma,\10 Romantic works\,"6,108,364",28 Jun 2007 21:45
23,09 Tango.wma,.wma,\10 Romantic works\,"4,256,086",28 Jun 2007 21:45
24,10 Tristan e Islode.wma,.wma,\10 Romantic works\,"12,658,286",28 Jun 2007 21:45
25,11 La taberna del Puerto.wma,.wma,\10 Romantic works\,"3,737,166",28 Jun 2007 21:45
26,12 Cello concerto.wma,.wma,\10 Romantic works\,"3,057,104",28 Jun 2007 21:45
27,13 Dream Children.wma,.wma,\10 Romantic works\,"5,115,114",28 Jun 2007 21:45
28,14 Violin concerto In F major Op.7.wma,.wma,\10 Romantic works\,"5,517,848",28 Jun 2007 21:45
29,15 Symphony No. 85 B flat major.wma,.wma,\10 Romantic works\,"4,712,520",28 Jun 2007 21:45
30,16 Les Filles de Cadiz.wma,.wma,\10 Romantic works\,"4,963,042",28 Jun 2007 21:45
31,17 On a Overgrown Path.wma,.wma,\10 Romantic works\,"4,569,292",28 Jun 2007 21:45
34,01 Deposuit potentes.wma,.wma,\1000 Years Of Sacred Music Disc 4\,"3,665,286",03 Mar 2014 14:48
35,02 Esurientes.wma,.wma,\1000 Years Of Sacred Music Disc 4\,"1,643,484",03 Mar 2014 14:48
36,03 Suscepit Israel.wma,.wma,\1000 Years Of Sacred Music Disc 4\,"1,902,986",03 Mar 2014 14:48
37,04 Sicut locutus est.wma,.wma,\1000 Years Of Sacred Music Disc 4\,"1,688,238",03 Mar 2014 14:48
38,05 Gloria Patri.wma,.wma,\1000 Years Of Sacred Music Disc 4\,"3,289,920",03 Mar 2014 14:48
39,06 Sicut erat in principio.wma,.wma,\1000 Years Of Sacred Music Disc 4\,"2,994,658",03 Mar 2014 14:48
40,07 Antiphon.wma,.wma,\1000 Years Of Sacred Music Disc 4\,"614,460",03 Mar 2014 14:48
41,08 Te Deum.wma,.wma,\1000 Years Of Sacred Music Disc 4\,"16,783,488",03 Mar 2014 14:48
42,09 Jubilate Deo.wma,.wma,\1000 Years Of Sacred Music Disc 4\,"10,457,262",03 Mar 2014 14:48
43,10 Me Beloved spake.wma,.wma,\1000 Years Of Sacred Music Disc 4\,"13,714,288",03 Mar 2014 14:48
44,"11 O God, Thou art my God.wma",.wma,\1000 Years Of Sacred Music Disc 4\,"4,936,312",03 Mar 2014 14:48
45,"12 Lord, how long wilt Thou be angry.wma",.wma,\1000 Years Of Sacred Music Disc 4\,"4,766,322",03 Mar 2014 14:48
46,"13 Remember not, Lord our offences.wma",.wma,\1000 Years Of Sacred Music Disc 4\,"4,175,750",03 Mar 2014 14:48
47,"14 Hear my prayer, O Lord.wma",.wma,\1000 Years Of Sacred Music Disc 4\,"2,976,700",03 Mar 2014 14:48
48,15 Funeral March.wma,.wma,\1000 Years Of Sacred Music Disc 4\,"3,119,850",03 Mar 2014 14:48
49,16 Man that is born of a woman.wma,.wma,\1000 Years Of Sacred Music Disc 4\,"3,477,798",03 Mar 2014 14:48
50,17 In the midst of life.wma,.wma,\1000 Years Of Sacred Music Disc 4\,"5,330,020",03 Mar 2014 14:48
51,18 Canzona.wma,.wma,\1000 Years Of Sacred Music Disc 4\,"3,477,812",03 Mar 2014 14:48
52,"19 Thou knowest, Lord.wma",.wma,\1000 Years Of Sacred Music Disc 4\,"4,139,932",03 Mar 2014 14:48
53,20 Funeral March.wma,.wma,\1000 Years Of Sacred Music Disc 4\,"1,876,078",03 Mar 2014 14:48
56,01 Lamento d' Ariannna.wma,.wma,\1991 Collection\,"19,547,912",24 Aug 2009 13:20
57,02 Horn Concerto No. 3.wma,.wma,\1991 Collection\,"9,365,398",24 Aug 2009 13:20
58,03 Horn Concerto No. 3.wma,.wma,\1991 Collection\,"7,038,918",24 Aug 2009 13:20
59,04 Horn Concerto No. 3.wma,.wma,\1991 Collection\,"5,669,874",24 Aug 2009 13:20
60,05 St. Paul's Suite.wma,.wma,\1991 Collection\,"4,435,042",24 Aug 2009 13:20
61,06 St. Paul's Suite.wma,.wma,\1991 Collection\,"2,394,898",24 Aug 2009 13:20
62,07 St. Paul's Suite.wma,.wma,\1991 Collection\,"5,857,774",24 Aug 2009 13:20
63,08 St. Paul's Suite.wma,.wma,\1991 Collection\,"4,685,586",24 Aug 2009 13:20
64,09 On the Idle Hill of Summer.wma,.wma,\1991 Collection\,"5,311,978",24 Aug 2009 13:20
65,10 Wiegenlied.wma,.wma,\1991 Collection\,"2,725,964",24 Aug 2009 13:20
66,11 Andante cantabile.wma,.wma,\1991 Collection\,"9,651,740",24 Aug 2009 13:20
67,12 Asturias.wma,.wma,\1991 Collection\,"9,481,702",24 Aug 2009 13:20
68,13 From Bohemia's Meadows and Groves.wma,.wma,\1991 Collection\,"18,125,520",24 Aug 2009 13:20
71,"01 Piano Sonata in B Flat, K333 - Allegretto Grazioso.wma",.wma,\37257\,"9,338,292",28 Jun 2007 20:04
72,02 Violin Concerto - Aria II.wma,.wma,\37257\,"8,909,058",28 Jun 2007 20:04
73,03 Suor Angelica - Senza Mamma.wma,.wma,\37257\,"6,725,744",28 Jun 2007 20:04
74,04 Rigoletto Paraphrase (excerpt).wma,.wma,\37257\,"9,401,198",28 Jun 2007 20:04
75,05 The Diary Of One Who Disappeared.wma,.wma,\37257\,"4,936,154",28 Jun 2007 20:04
76,06 Adieu Ces Bons Vins de Lannoys.wma,.wma,\37257\,"6,555,734",28 Jun 2007 20:04
77,07 Benedicta Es Celorium.wma,.wma,\37257\,"7,092,618",28 Jun 2007 20:04
78,08 String Quartet No 1 - Rondo- Allegro Vivace.wma,.wma,\37257\,"9,660,712",28 Jun 2007 20:04
79,09 Souvenirs - Hesitation Waltz (A Bedroom Affair).wma,.wma,\37257\,"6,367,862",28 Jun 2007 20:04
80,"10 Symphony No 8 - Adagio, Feierlich langsam, doch nicht schleppend (excerpt).wma",.wma,\37257\,"7,280,616",28 Jun 2007 20:04
81,"11 Piano Sonata in E Flat, Op27 No 1 - Allegro Vivace.wma",.wma,\37257\,"8,631,718",28 Jun 2007 20:04
82,"12 Norma - Oh, rimembranza.wma",.wma,\37257\,"8,166,364",28 Jun 2007 20:04
83,"13 Waltz in E Flat, Op 18, Grande valse brillante.wma",.wma,\37257\,"6,645,248",28 Jun 2007 20:04
84,14 Competition 1.wma,.wma,\37257\,"1,025,824",28 Jun 2007 20:04
85,15 Competition 2.wma,.wma,\37257\,"3,101,760",28 Jun 2007 20:04
86,16 Competition 3.wma,.wma,\37257\,"1,339,004",28 Jun 2007 20:04
87,17 Competition 4.wma,.wma,\37257\,"1,392,692",28 Jun 2007 20:04
89,"01 From Holberg's Time, Praeludium.wma",.wma,\3D classics\,"4,282,560",27 Jun 2007 17:12
90,"02 From Holberg's Time, Sarabande.wma",.wma,\3D classics\,"6,188,848",27 Jun 2007 17:12
91,"03 From Holberg's Time, Gavotte.wma",.wma,\3D classics\,"5,535,640",27 Jun 2007 17:12
92,"04 From Holberg's Time, Air.wma",.wma,\3D classics\,"8,479,524",27 Jun 2007 17:12
93,"05 From Holberg's Time, Rigaudon.wma",.wma,\3D classics\,"5,777,238",27 Jun 2007 17:12
94,"06 Finlandia, op.26.wma",.wma,\3D classics\,"13,740,934",27 Jun 2007 17:12
95,07 Vitava (The Moldau).wma,.wma,\3D classics\,"17,928,608",27 Jun 2007 17:12
96,08 Les Preludes.wma,.wma,\3D classics\,"24,156,394",27 Jun 2007 17:12
99,01 The Today Program Part 1.wma,.wma,\40Th Anniversary\,"31,869,190",29 Jun 2007 08:05
100,02 The Today Program Part 2.wma,.wma,\40Th Anniversary\,"27,959,188",29 Jun 2007 08:05
101,03 Bonus Track.wma,.wma,\40Th Anniversary\,"5,893,394",29 Jun 2007 08:05
193,01 Handel- Arias for Durastanti.wma,.wma,\A Decade Of Excellence\,"8,604,602",25 Jun 2007 20:52
194,02 Is Any Afflicted.wma,.wma,\A Decade Of Excellence\,"2,600,884",25 Jun 2007 20:52
195,03 Nicola Matteis- Ayres for the violin.wma,.wma,\A Decade Of Excellence\,"5,473,240",25 Jun 2007 20:52
196,04 An English Ladymass.wma,.wma,\A Decade Of Excellence\,"5,312,088",25 Jun 2007 20:52
197,05 Lord Herbert of Cherbury's Lute Book.wma,.wma,\A Decade Of Excellence\,"2,162,440",25 Jun 2007 20:52
198,"06 Verse Anthems- Hear, O Heav'ns.wma",.wma,\A Decade Of Excellence\,"6,457,558",25 Jun 2007 20:52
199,07 Trio Sonatas- Sonata No.1 in E flat.wma,.wma,\A Decade Of Excellence\,"5,061,552",25 Jun 2007 20:52
200,08 Schubert- Octet in F.wma,.wma,\A Decade Of Excellence\,"5,643,154",25 Jun 2007 20:52
